,TRBC Economic Sector Name
EIX.N,Utilities
NWS.OQ,Consumer Cyclicals
MU.OQ,Technology
UPS.N,Industrials
TYL.N,Technology
UNP.N,Industrials
BAC.N,Financials
KMX.N,Consumer Cyclicals
VIAC.OQ,Consumer Cyclicals
IP.N,Basic Materials
MDT.N,Healthcare
MMM.N,Consumer Non-Cyclicals
CZR.OQ,Consumer Cyclicals
INTU.OQ,Technology
OKE.N,Energy
ADP.OQ,Technology
EQIX.OQ,Real Estate
CHD.N,Consumer Non-Cyclicals
MTD.N,Technology
EBAY.OQ,Technology
PEG.N,Utilities
BIIB.OQ,Healthcare
CTSH.OQ,Technology
ALB.N,Basic Materials
NCLH.N,Consumer Cyclicals
UDR.N,Real Estate
DGX.N,Healthcare
CBOE.Z,Financials
ETSY.OQ,Consumer Cyclicals
HIG.N,Financials
VRSK.OQ,Technology
AMT.N,Real Estate
PYPL.OQ,Technology
CAG.N,Consumer Non-Cyclicals
UHS.N,Healthcare
TFX.N,Healthcare
SYF.N,Financials
WAT.N,Healthcare
INCY.OQ,Healthcare
UNM.N,Financials
LRCX.OQ,Technology
IDXX.OQ,Healthcare
PPG.N,Basic Materials
LKQ.OQ,Consumer Cyclicals
HES.N,Energy
EOG.N,Energy
MAR.OQ,Consumer Cyclicals
TJX.N,Consumer Cyclicals
MNST.OQ,Consumer Non-Cyclicals
VMC.N,Basic Materials
EW.N,Healthcare
FRC.N,Financials
ALL.N,Financials
BMY.N,Healthcare
APH.N,Technology
HON.OQ,Consumer Non-Cyclicals
GPC.N,Consumer Cyclicals
MHK.N,Consumer Cyclicals
MCHP.OQ,Technology
CAT.N,Industrials
PG.N,Consumer Non-Cyclicals
ZTS.N,Healthcare
STE.N,Healthcare
AFL.N,Financials
CPB.N,Consumer Non-Cyclicals
PTC.OQ,Technology
FITB.OQ,Financials
MSI.N,Technology
XEL.OQ,Utilities
HSIC.OQ,Healthcare
ITW.N,Consumer Non-Cyclicals
GPS.N,Consumer Cyclicals
WST.N,Healthcare
ALK.N,Industrials
DFS.N,Financials
APTV.N,Consumer Cyclicals
MPC.N,Energy
PGR.N,Financials
ZION.OQ,Financials
DISCA.OQ,Consumer Cyclicals
ICE.N,Financials
KMB.N,Consumer Non-Cyclicals
SWKS.OQ,Technology
EL.N,Consumer Non-Cyclicals
TSLA.OQ,Consumer Cyclicals
EXR.N,Real Estate
IPGP.OQ,Technology
SPGI.N,Industrials
ADBE.OQ,Technology
ADSK.OQ,Technology
WRK.N,Basic Materials
WHR.N,Consumer Cyclicals
FOXA.OQ,Consumer Cyclicals
TT.N,Industrials
TSN.N,Consumer Non-Cyclicals
AKAM.OQ,Technology
LUV.N,Industrials
TSCO.OQ,Consumer Cyclicals
AON.N,Financials
AMZN.OQ,Consumer Cyclicals
MS.N,Financials
BRKb.N,Consumer Non-Cyclicals
GOOG.OQ,Technology
KR.N,Consumer Non-Cyclicals
BKNG.OQ,Consumer Cyclicals
STZ.N,Consumer Non-Cyclicals
ABBV.N,Healthcare
MA.N,Technology
XOM.N,Energy
SWK.N,Industrials
HRL.N,Consumer Non-Cyclicals
INTC.OQ,Technology
TRMB.OQ,Technology
WBA.OQ,Consumer Non-Cyclicals
DISCK.OQ,Consumer Cyclicals
OMC.N,Consumer Cyclicals
GLW.N,Technology
CRM.N,Technology
SBUX.OQ,Consumer Cyclicals
ATO.N,Utilities
ETR.N,Utilities
UA.N,Consumer Cyclicals
HAL.N,Energy
TFC.N,Financials
ATVI.OQ,Technology
TAP.N,Consumer Non-Cyclicals
ABT.N,Healthcare
V.N,Technology
YUM.N,Consumer Cyclicals
LYV.N,Consumer Cyclicals
JNPR.N,Technology
RE.N,Financials
FTNT.OQ,Technology
DTE.N,Utilities
HST.OQ,Real Estate
IRM.N,Real Estate
PEAK.N,Real Estate
FIS.N,Technology
DAL.N,Industrials
ROK.N,Industrials
HBI.N,Consumer Cyclicals
DOW.N,Basic Materials
PPL.N,Utilities
NTRS.OQ,Financials
VFC.N,Consumer Cyclicals
ETN.N,Industrials
CVX.N,Energy
LNC.N,Financials
CI.N,Healthcare
ACN.N,Technology
XYL.N,Industrials
HAS.OQ,Consumer Cyclicals
ENPH.OQ,Energy
SO.N,Utilities
CTLT.N,Healthcare
VNO.N,Real Estate
CTXS.OQ,Technology
DISH.OQ,Consumer Cyclicals
LUMN.N,Technology
NRG.N,Utilities
MKTX.OQ,Financials
LMT.N,Industrials
DLR.N,Real Estate
PSX.N,Energy
SCHW.N,Financials
DXC.N,Technology
SNPS.OQ,Technology
J.N,Industrials
SIVB.OQ,Financials
AVY.N,Basic Materials
